Display_Name,DB_Entry
Baker Island    ,Etc/GMT+12
Pago Pago       ,US/Samoa
Honolulu        ,Pacific/Honolulu
Anchorage       ,America/Anchorage
Los Angeles     ,America/Los_Angeles
Denver          ,America/Denver
Chicago         ,America/Chicago
Lima            ,America/Lima
Washington      ,America/New_York
Ponce           ,America/Puerto_Rico
Santiago        ,America/Santiago
Sao Paulo       ,America/Sao_Paulo
Nuuk            ,America/Nuuk
Angra           ,Atlantic/Azores
UTC             ,UTC
London          ,Europe/London
Lagos           ,Africa/Lagos
Rome            ,Europe/Rome
Johannesburg    ,Africa/Johannesburg
Jerusalem       ,Asia/Jerusalem
Addis Ababa     ,Africa/Addis_Ababa
Dubai           ,Asia/Dubai
Almaty          ,Asia/Almaty
Mumbai          ,Asia/Calcutta
Dhaka           ,Asia/Dhaka
Jakarta         ,Asia/Jakarta
Manila          ,Asia/Manila
Tokyo           ,Asia/Tokyo
Dededo          ,Pacific/Guam
Sydney          ,Australia/Sydney
Suva            ,Pacific/Fiji
Auckland        ,Pacific/Auckland
Nuku'alofa      ,Pacific/Tongatapu
Betio           ,Pacific/Kiritimati
