DB_Entry,Display_Name
US/Samoa,Pago Pago
Pacific/Honolulu,Honolulu
US/Pacific,Los Angeles
America/Phoenix,Phoenix
US/Eastern,Charlottesville
America/Santiago,Santiago
America/Sao_Paulo,Sao Paulo
Atlantic/Azores,Angra
UTC,UTC
Europe/London,London
Europe/Rome,Rome
Asia/Jerusalem,Jerusalem
Africa/Addis_Ababa,Addis Ababa
Asia/Dubai,Dubai
Asia/Calcutta,Mumbai
Asia/Jakarta,Jakarta
Asia/Manila,Manila
Asia/Tokyo,Tokyo
Pacific/Guam,Dededo
Australia/Sydney,Sydney
Pacific/Auckland,Auckland
Pacific/Kiritimati,Kiritimati
